path	label	pcaFeaturesString
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_113_100.jpg	Apple Braeburn	0.2163775983210176,-0.5751932339895907,1.7515185725167326,-3.726376737060449,4.657573420952399,20.650924476024482,-24.609435819313646,24.11210455998843,-75.99138018705058,78.77897039839776,-14.573064042749387,60.957810221372675,49.121130922000866,-19.41710139935609,-1.8674916173952003,58.67556452381361,77.1848462507471,-25.558892634996635,-42.34211369037461,31.96208760771553,-86.57489371287902,14.946561453058315,24.609280423176006,-42.87692696611551,-26.711900694519496,-30.810872320133953,32.52797444328061,35.770348401667256,-3.737848050365151,-0.16057508117112618,-30.522465166762913,1.7116271537726997,8.879368027864745,1.8876648543204269,-128.11325564679694,35.05007925169204,2.215842782051756,-20.744376950789825,-22.371488117469493,-17.18852287935345,-3.1256013391057897,4.188585784397974,4.781295196623382,-6.320696672288517,12.360825436617796,-2.748245398298252,11.136756444106021,4.099484470757637,0.8369383530590422,-34.940825458600806
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_293_100.jpg	Apple Braeburn	0.023966396204903533,-0.6058789445349523,2.0400339045001585,14.515547638719687,4.011963041672659,2.980912958806018,23.94800314773326,14.536886009778645,-29.448571302837447,-150.93622681196612,-1.513715599906012,-96.54918362665579,-71.40190279963491,15.13853709986602,-107.68195914732121,50.69828884727371,9.011642241556185,-15.156140034368969,21.844745337822626,11.10447723971289,-72.05921140282841,-4.674587255169645,-3.0683461236921725,43.644976318100376,0.4597791320085126,9.857244338689458,-2.6287143857852255,59.864647888772495,7.205587887401642,11.444425137490233,-1.9416424950512263,0.4214303565895907,-3.0964822495973996,-2.487023638792638,8.560721773811037,-9.208761273349007,12.630234212206378,2.836820274050564,25.728962681270144,2.8544601171259845,6.184177472853244,-14.022066433124614,35.3735485824312,-38.433902646625484,2.806216847318609,-17.716851450835414,-45.79912094591084,0.34828200292448747,-43.992719256777896,-3.846493551433448
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_171_100.jpg	Apple Pink Lady	0.05133080075912771,-0.6106853375468625,-4.9004847906364715,-7.586941264843656,-12.744725860927563,-38.0136099028506,-24.26092905883484,-64.31386649436355,216.9488545776276,-38.11036790231708,-17.64145143432487,13.701293459268348,3.0398667994988413,116.84327547791118,-11.925045005686297,13.177197625723295,9.919107610655173,2.538784328035291,42.799798632299726,30.961347606885155,25.495351716602645,6.329564747512259,-30.85777629912189,-11.248905641439034,89.46731597518705,32.1627490970021,48.64714137793986,-1.791081089750932,146.32535565518688,-33.43720812063597,-19.01161782153767,30.732719964958726,9.141363854630104,-13.150029684593244,-10.251739804952622,-0.9179595204692993,14.960244007966045,-3.2198567595863112,13.098508413083401,5.373930499979448,-9.072432320732164,-4.554617567085136,-13.430479836448761,-18.771105272615863,-8.0348701752382,-14.302674963766187,5.946272806708645,5.098832022496746,-0.16048897702310624,5.421333634614683
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_107_100.jpg	Apple Braeburn	0.24510274656698555,-0.587311989323501,1.9123105703599905,-4.216804900827466,4.671344735413113,24.301605419300316,-30.789877164463178,30.959091525333296,-95.46281817434439,88.29263815865137,-17.047366732336794,73.9742878045667,46.68733594274372,-34.29657176967944,-34.432444746526436,73.86805780955697,65.13299122627649,3.034921408111204,4.457322108564538,5.666271108513441,-38.126570737253736,25.136566460778464,30.896361040337784,-72.4558044669064,-72.20693418378146,-100.7407609344612,88.63358308909224,37.3887962805089,8.158298935528862,-10.131346095331965,12.914097708386006,24.94419786017099,5.491199358855427,-0.33549454664026207,-45.93866065602453,13.670632844164492,0.9350204616672789,-4.968840054561812,4.984317520446502,4.044559049094168,-4.481955664729752,-20.223655775067808,-12.920179061779566,-2.3410532846784515,68.8165951722317,3.317010769126457,23.583415384531307,1.0972160521880903,-5.931249200807254,-17.53098946962604
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_177_100.jpg	Apple Pink Lady	-0.218897483350419,-0.8220369362472693,-4.54772637623527,-9.68887147549853,-24.01307928388615,-30.412223684276118,-39.70067914819579,-113.09086484468276,268.9760727349718,-70.1595485255647,66.31727815299006,14.47038375243872,29.713308115726782,-28.93204989640626,-23.77082871299802,22.56221404795904,-32.056419893521934,94.20671377445514,15.293168017056457,58.02268661720754,-22.067199093726416,-92.0848505015853,-198.39966644412874,-60.5803840705315,64.35760739361925,9.708230039882613,59.67738631009045,18.956823585793742,148.07698453589134,-140.05352478758036,-23.757798511401756,30.88621286162558,13.23717751030254,-25.05001732264587,-27.720923463673785,-15.085842047593031,38.013695927255796,-23.009765362127848,25.803403739017327,-13.349310503103581,-22.447354496139948,36.630768624363036,38.4966745455894,-1.8612907942197212,22.207114942413888,-7.819857903018296,29.491164450081733,43.10376070501141,-0.8150566703843115,0.8249052131879029
s3://p8neurybucket/Training-fruit/Apple Braeburn/r_296_100.jpg	Apple Braeburn	0.009910585375775058,-0.5372837274413842,2.251608957951071,15.706483320993824,3.6182355554628245,4.219021360389625,24.439173738538727,12.410169520089756,-28.524940437224252,-161.53963157094066,4.0570135872530635,-97.3126305281522,-69.28346828319245,3.144766353018133,-95.39857792992932,46.95330234005468,10.708015593226147,-9.155493023164269,10.622269343419344,11.069987371355575,-58.78230397249626,-8.218925594598634,-6.300547058579703,37.85326713670935,0.18417819534812638,4.623087377023442,-3.2739694151229974,37.792659749505205,7.775903888570257,5.134840773682297,-0.4842133979225652,-9.250791165579255,-9.687994327730616,-9.86474158610978,11.600781022134376,-11.480406074107757,11.46750805020926,-0.05759388917592449,25.350651693794383,-3.6467173812675435,10.986193116700663,-11.825558078756382,35.04018733821198,-41.138283018944925,3.261163218083577,-16.058901670137256,-33.968820892306844,2.099172440736182,-24.647294328250396,-3.2660667312490395
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_150_100.jpg	Apple Pink Lady	0.9016864062614862,-6.508740698310698,10.480970017691611,-93.07097932091017,75.02926383527686,-1711.2698623149797,-682.6961463799466,-0.17099521311482968,2.5504581609686805,-62.96189166341348,-290.2897961789362,-88.33486636236164,-98.09430435082258,-300.82321215765,90.40499913620128,119.99201348997136,-23.15291764378988,-167.76024838474106,142.59096630430284,135.5743086859968,51.83764396550131,-7.5430928968461926,-33.25175971859156,16.968052281124624,208.4599592302134,-142.24482472300926,15.037412930551648,26.55610483621162,-66.8490205978474,16.943267798471904,-11.67008843073522,0.20414615875537812,4.661990268943597,12.462390206624727,-20.18213708641715,0.8696572135208881,-66.733996772078,37.9506604946938,32.46332846281462,-3.0631015486930147,-11.23632809323126,17.006298713478586,11.471204059258902,-18.207745671243586,-0.8741152151553117,-4.578817582267849,6.86414147682686,5.406943587180821,3.4980567112158325,3.3133978964313506
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_170_100.jpg	Apple Pink Lady	0.057719286652721864,-0.7074386321180962,-4.542729603104708,-6.634115206038053,-10.691006706521936,-49.19816738871237,-16.19818398416804,-63.24488072394898,214.35153935663416,-45.115221456703075,-15.560442123186329,8.98057854981686,5.293896832261636,126.04672539875884,-18.203845667530384,10.165120807004454,12.49803920245739,-3.4810710926468698,39.718055960342475,26.288387992370563,29.499060812923364,-4.897371395476038,-28.89841689331501,-3.2204399700401587,78.95395294511667,27.25603171023522,44.785094435467634,2.3480731738753082,119.43941621174895,-30.090523250650797,-21.240544413936934,24.605613626389996,11.324518953212541,-10.937467662714441,-9.657889252805871,4.160664682222402,10.004535725523729,5.397795930313454,19.128169329984807,9.710576047161302,-8.33483478579347,-12.69104608971775,-22.381413826421934,-18.89792189793178,-13.68893040599184,-18.833901265043565,4.615638190663047,-1.144927390319204,4.693871629885186,5.486283129651056
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_153_100.jpg	Apple Pink Lady	0.5755168584779741,-4.375110692282123,3.6769571358314392,-60.37789656401779,41.63163125762562,-1052.8532186639407,-416.9304511537491,-36.784677315876465,136.44045769377107,-28.460636449520997,-467.838892089902,-144.42925898284514,39.79721072599312,-229.0496301098803,-61.5933633038909,-67.93359869656281,74.48387730123453,-49.16492979699335,67.10860636167848,53.884621236359024,13.206077409253892,-18.26715638612497,13.443773638536593,-9.792405431149563,-63.80276347553818,59.05745924697213,2.0286307200380556,4.394825569635786,45.59398081405109,-10.219542058749552,-2.4494577612784454,2.2340384714277044,4.884570849968031,-2.9947327885538537,6.2503619793211636,27.066594706269147,90.00595312702227,-53.59953271893512,-17.697450657092208,25.70046785796505,4.304052743504883,-46.25914078899663,-37.55625955222649,-18.678188329167888,-24.34306546343162,-28.38016450492527,8.719566784343964,-21.445995255593612,10.259690584458477,3.403068858880763
s3://p8neurybucket/Training-fruit/Apple Pink Lady/r_173_100.jpg	Apple Pink Lady	-0.0008854419601077213,-0.46446581751950267,-4.998052235819413,-7.495845450400774,-13.025778287418133,-37.43411777282074,-15.236619277540951,-69.6588307901804,222.22344716277792,-38.030067092154155,-4.776702061247513,19.248755229706845,7.24362831811518,106.53233930854617,-13.045633888032778,10.049168947796755,6.352628447621693,-6.701474798742659,59.90382930157593,26.584252493146828,28.092418643933367,7.4577265908796,-45.195286500746796,-21.839509984195665,100.16275808311289,32.78207763744676,54.369955378951914,-2.78869764593274,188.90641427591856,-41.80315634424674,-20.570212945563593,35.98966157336572,12.633205164234727,-12.510397860181039,-5.9736653080482425,-8.741755419861695,38.01869312395295,-16.970502173044675,22.322194668447413,-9.843840074294286,-21.238211968254674,24.179250254352027,19.436327921459366,-15.182263854542297,6.198211263349013,-2.605282435926794,10.270438917785299,15.16615106824659,-0.16741334656796983,5.212527863088849
